tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method
163;2020;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;55.76;MWe;Nette;Net
164;2020;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
165;2020;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.34;MWe;Nette;Net
166;2020;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;768.21655;MWe;Nette;Net
167;2020;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
168;2020;Groupe EDF;EDF group;Belgique;Belgium;Hydraulique;Hydraulic;Électrique;Electric;45.851703;MWe;Nette;Net
169;2020;Groupe EDF;EDF group;Belgique;Belgium;Éolien;Wind;Électrique;Electric;402.588661;MWe;Nette;Net
170;2020;Groupe EDF;EDF group;Belgique;Belgium;Solaire;Solar;Électrique;Electric;1.159462672;MWe;Nette;Net
171;2020;Groupe EDF;EDF group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net
172;2020;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net
173;2020;Groupe EDF;EDF group;Brésil;Brazil;Gaz;Gas;Électrique;Electric;936.9185;MWe;Nette;Net
174;2020;Groupe EDF;EDF group;Brésil;Brazil;Hydraulique;Hydraulic;Électrique;Electric;204.96;MWe;Nette;Net
175;2020;Groupe EDF;EDF group;Brésil;Brazil;Éolien;Wind;Électrique;Electric;238.0;MWe;Nette;Net
176;2020;Groupe EDF;EDF group;Brésil;Brazil;Solaire;Solar;Électrique;Electric;199.26;MWe;Nette;Net
177;2020;Groupe EDF;EDF group;Canada;Canada;Éolien;Wind;Électrique;Electric;618.19;MWe;Nette;Net
178;2020;Groupe EDF;EDF group;Canada;Canada;Solaire;Solar;Électrique;Electric;42.4;MWe;Nette;Net
179;2020;Groupe EDF;EDF group;République populaire de Chine;China;Nucléaire;Nuclear;Électrique;Electric;1050.0;MWe;Nette;Net
180;2020;Groupe EDF;EDF group;République populaire de Chine;China;Charbon;Coal;Électrique;Electric;1999.76;MWe;Nette;Net
181;2020;Groupe EDF;EDF group;République populaire de Chine;China;Éolien;Wind;Électrique;Electric;253.74;MWe;Nette;Net
182;2020;Groupe EDF;EDF group;République populaire de Chine;China;Solaire;Solar;Électrique;Electric;113.15;MWe;Nette;Net
183;2020;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Électrique;Electric;5.06114371;MWe;Nette;Net
184;2020;Groupe EDF;EDF group;Espagne;Spain;Solaire;Solar;Électrique;Electric;1.181084255;MWe;Nette;Net
185;2020;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;122.35399067;MWth;Nette;Net
186;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Électrique;Electric;61370.0;MWe;Nette;Net
187;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Électrique;Electric;1757.6;MWe;Nette;Net
188;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Électrique;Electric;3607.3818818;MWe;Nette;Net
189;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Électrique;Electric;3657.9927926;MWe;Nette;Net
190;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Électrique;Electric;20484.350464;MWe;Nette;Net
191;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Électrique;Electric;0.8864;MWe;Nette;Net
192;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Éolien;Wind;Électrique;Electric;1545.76576;MWe;Nette;Net
193;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Électrique;Electric;290.725392;MWe;Nette;Net
194;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Électrique;Electric;208.2923036;MWe;Nette;Net
195;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Énergie marine;Marine energy;Électrique;Electric;240.0;MWe;Nette;Net
196;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Électrique;Electric;31.9788012;MWe;Nette;Net
197;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Chaleur;Heat;63.71175;MWth;Nette;Net
198;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;926.463788;MWth;Nette;Net
199;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;20157.678132;MWth;Nette;Net
200;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2442.762188;MWth;Nette;Net
201;2020;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;6226.751706;MWth;Nette;Net
202;2020;Groupe EDF;EDF group;Grèce;Greece;Gaz;Gas;Électrique;Electric;394.6773725;MWe;Nette;Net
203;2020;Groupe EDF;EDF group;Grèce;Greece;Éolien;Wind;Électrique;Electric;238.2;MWe;Nette;Net
204;2020;Groupe EDF;EDF group;Grèce;Greece;Solaire;Solar;Électrique;Electric;12.09;MWe;Nette;Net
205;2020;Groupe EDF;EDF group;Inde;India;Éolien;Wind;Électrique;Electric;176.5;MWe;Nette;Net
